key,text
Practice,練習
SettingsTitle,解き方の設定
HintModeFull,ぜんぶガイド
HintModePractice,練習ストップ
HintModeOff,オフ
MaxExtraMoves,余分な手数の上限
IDidIt,できた！
NeededHelp,ちょっと見た
PracticeYouKnow,これ知ってるね！
SettingsNoTrained,まずトレーニングで手順に星をつけてね
TapSelectTitle,タップで選ぶ
TapSelectSide,面ぜんぶ
TapSelectCell,1マス
MyWay,自分流
AppTitle,ルービックキューブ
MenuSolve,そろえる
MenuTrain,トレーニング
MenuPlay,あそぶ
Back,もどる
Scramble,スクランブル
Reset,リセット
Undo,ひとつもどす
ComingSoon,もうすぐだよ！
Play,再生
Pause,一時停止
Next,つぎへ
GuideDone,そろった！すごいね！
TableLoading,ソルバーを読み込み中…
ErrColorCounts,シールの数が合わない色があるよ
ErrCenters,真ん中の6つのシールは、ぜんぶちがう色にしてね
ErrImpossiblePiece,色の組み合わせがおかしいパーツがあるよ
ErrUnsolvable,おしい！シールが1つちがうみたい—もう一回見てね
ShowSolution,答えを見る
Best,ベスト
Average,Ao5
Attempts,回数
CameraStarting,カメラを起動中…
EnterManually,手で入力
Capture,パシャッ！
ScanHoldSteady,四角の中でキューブをじっとさせてね
ScanTurnLeft,キューブぜんたいを左に回してね
ScanTiltUp,上の面を、じぶんとは反対がわにたおしてね
LessonsTabCaption,ここから
Replay,もういちど！
LessonCubeTitle,キューブを知ろう
LessonCubeCenters,真ん中はぜったい動かない—その面の色を教えてくれるよ
LessonCubeSides,キューブごと回しても—決めるのはやっぱり真ん中
LessonCubePieces,回すとパーツが動き出す—おうちに帰るのを見ててね！
LessonMovesTitle,記号を読もう
LessonMovesR,Rは、右の面を時計まわりに1回まわすよ
LessonMovesPrime,R'は、ぎゃくまわりだよ
LessonMovesDouble,R2は、2回まわすよ
LessonMovesAll,どの面にも自分の文字があるよ：U F L D …
LessonDaisyTitle,お花
LessonDaisyGoal,お花をつくろう：黄色い真ん中のまわりに白い花びら
LessonDaisyFind,白いエッジをさがして、上にあげよう
LessonCrossTitle,白いクロス
LessonCrossTurnDown,花びらを2回まわして下ろすと—お花がクロスになるよ
LessonCrossDone,まわす前に、花びらの横の色を合わせてね
LessonCornersTitle,白いコーナー
LessonCornersMagic,まほうの手順：R' D' R D
LessonCornersRepeat,コーナーがぴったりはまるまで、くりかえしてね
LessonMiddleTitle,真ん中の段
LessonMiddleRight,エッジを右におくろう
LessonMiddleLeft,エッジを左におくろう
LessonTopTitle,いちばん上の段
LessonTopCross,黄色いクロス：F R U R' U' F'
LessonTopNext,つぎはABCのタブへ—ゴールまであと少し！
